[     397ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:54068/favicon.ico:0
[23760258ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error during WebSocket handshake: net::ERR_CONNECTION_RESET @ http://localhost:54068/:145
[24935051ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24967410ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24999738ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25032096ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25064441ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25096767ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25129095ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25161453ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25193781ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25226107ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25258448ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25290794ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25323138ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25355497ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25387855ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25420199ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25452544ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25484871ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25517197ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[25549525ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
